,facility_id_API,facility_name_num,facility_type,field_name_num,location,operator_name_num,related_facilities,status
3368,05-123-44080,Razor                              29L-2035       ,WELL,TERRACE SOUTH                 81550,WELD                                123NWSW   29 10N   58W     6 ,WHITING OIL & GAS CORPORATION                     96155, ,XX1/13/2017 
3369,05-123-41376,Razor                              29L-2001       ,WELL,TERRACE SOUTH                 81550,WELD                                123NWSW   29 10N   58W     6 ,WHITING OIL & GAS CORPORATION                     96155, ,XX11/11/2016 
3370,05-123-41377,Razor Fed                          29L-3203       ,WELL,TERRACE SOUTH                 81550,WELD                                123NWSW   29 10N   58W     6 ,WHITING OIL & GAS CORPORATION                     96155, ,XX11/11/2016 
3371,05-123-41378,Razor                              29L-2003       ,WELL,TERRACE SOUTH                 81550,WELD                                123NWSW   29 10N   58W     6 ,WHITING OIL & GAS CORPORATION                     96155, ,XX11/11/2016 
3372,05-123-41379,Razor                              29L-2004       ,WELL,TERRACE SOUTH                 81550,WELD                                123NWSW   29 10N   58W     6 ,WHITING OIL & GAS CORPORATION                     96155, ,XX11/11/2016 
3373,05-123-41380,Razor                              29L-2002       ,WELL,TERRACE SOUTH                 81550,WELD                                123NWSW   29 10N   58W     6 ,WHITING OIL & GAS CORPORATION                     96155, ,XX11/11/2016 
3374,05-123-41382,Razor Fed                          29L-3201       ,WELL,TERRACE SOUTH                 81550,WELD                                123NWSW   29 10N   58W     6 ,WHITING OIL & GAS CORPORATION                     96155, ,XX11/11/2016 
3375,05-123-41383,Razor Fed                          29L-3204       ,WELL,TERRACE SOUTH                 81550,WELD                                123NWSW   29 10N   58W     6 ,WHITING OIL & GAS CORPORATION                     96155, ,XX11/11/2016 
3376,05-123-41384,Razor Fed                          29L-3202       ,WELL,TERRACE SOUTH                 81550,WELD                                123NWSW   29 10N   58W     6 ,WHITING OIL & GAS CORPORATION                     96155, ,XX11/11/2016 
3377,05-123-40470,Razor                              29H-2016       ,WELL,WILDCAT                       99999,WELD                                123SENE   29 10N   58W     6 ,WHITING OIL & GAS CORPORATION                     96155, ,XX9/19/2016 
3378,05-123-40471,Razor                              29H-2014       ,WELL,WILDCAT                       99999,WELD                                123SENE   29 10N   58W     6 ,WHITING OIL & GAS CORPORATION                     96155, ,XX9/19/2016 
3379,05-123-40472,Razor                              29H-2015       ,WELL,WILDCAT                       99999,WELD                                123SENE   29 10N   58W     6 ,WHITING OIL & GAS CORPORATION                     96155, ,XX9/19/2016 
3380,05-123-40473,Razor                              29H-2013       ,WELL,WILDCAT                       99999,WELD                                123SENE   29 10N   58W     6 ,WHITING OIL & GAS CORPORATION                     96155, ,XX9/19/2016 
3381,05-123-40952,Razor                              29H-3213       ,WELL,WILDCAT                       99999,WELD                                123SENE   29 10N   58W     6 ,WHITING OIL & GAS CORPORATION                     96155, ,XX9/19/2016 
3382,05-123-40953,Razor                              29H-3214       ,WELL,WILDCAT                       99999,WELD                                123SENE   29 10N   58W     6 ,WHITING OIL & GAS CORPORATION                     96155, ,XX9/19/2016 
3383,05-123-40954,Razor                              29H-3216       ,WELL,WILDCAT                       99999,WELD                                123SENE   29 10N   58W     6 ,WHITING OIL & GAS CORPORATION                     96155, ,XX9/19/2016 
3384,05-123-40961,Razor                              29H-3215       ,WELL,WILDCAT                       99999,WELD                                123SENE   29 10N   58W     6 ,WHITING OIL & GAS CORPORATION                     96155, ,XX9/19/2016 
3385,05-123-43888,Razor                              29H-2046       ,WELL,WILDCAT                       99999,WELD                                123SENE   29 10N   58W     6 ,WHITING OIL & GAS CORPORATION                     96155, ,XX11/27/2016 
3386,05-123-43889,Razor                              29H-3247       ,WELL,WILDCAT                       99999,WELD                                123SENE   29 10N   58W     6 ,WHITING OIL & GAS CORPORATION                     96155, ,XX11/27/2016 
3387,05-123-43890,Razor                              29H-3246       ,WELL,WILDCAT                       99999,WELD                                123SENE   29 10N   58W     6 ,WHITING OIL & GAS CORPORATION                     96155, ,XX11/27/2016 
3388,05-123-43891,Razor                              29H-3248       ,WELL,WILDCAT                       99999,WELD                                123SENE   29 10N   58W     6 ,WHITING OIL & GAS CORPORATION                     96155, ,XX11/27/2016 
3389,05-123-43892,Razor                              29H-2047       ,WELL,WILDCAT                       99999,WELD                                123SENE   29 10N   58W     6 ,WHITING OIL & GAS CORPORATION                     96155, ,XX11/27/2016 
3390,05-123-43893,Razor                              29H-2048       ,WELL,WILDCAT                       99999,WELD                                123SENE   29 10N   58W     6 ,WHITING OIL & GAS CORPORATION                     96155, ,XX11/27/2016 
3391,05-123-43722,Razor                              29F-3239       ,WELL,WILDCAT                       99999,WELD                                123SENW   29 10N   58W     6 ,WHITING OIL & GAS CORPORATION                     96155, ,XX10/12/2016 
