,Unnamed: 0,facility_id_API,facility_type,location,related_facilities,status,facility_name,facility_num,field_name,field_num,county,coord,operator_name,operator_num
44,44,05-001-09807,WELL,ADAMS                               001SENW   24 1S    66W     6 , ,2016-05-02,Rock Family LE,13-4HC,WATTENBERG,90750,ADAMS,                           001SENW   24 1S    66W     6 ,GREAT WESTERN OPERATING COMPANY LLC,10110
45,45,05-001-09808,WELL,ADAMS                               001SENW   24 1S    66W     6 , ,2016-05-02,Rock Family LE,13-29HN,WATTENBERG,90750,ADAMS,                           001SENW   24 1S    66W     6 ,GREAT WESTERN OPERATING COMPANY LLC,10110
46,46,05-001-09809,WELL,ADAMS                               001SENW   24 1S    66W     6 , ,2016-05-03,Rock Family LE,13-021HN,WATTENBERG,90750,ADAMS,                           001SENW   24 1S    66W     6 ,GREAT WESTERN OPERATING COMPANY LLC,10110
47,47,05-001-09810,WELL,ADAMS                               001SENW   24 1S    66W     6 , ,2016-05-02,Rock Family LE,13-3HN,WATTENBERG,90750,ADAMS,                           001SENW   24 1S    66W     6 ,GREAT WESTERN OPERATING COMPANY LLC,10110
48,48,05-001-09811,WELL,ADAMS                               001SENW   24 1S    66W     6 , ,2016-05-02,Rock Family LE,13-28HN-1,WATTENBERG,90750,ADAMS,                           001SENW   24 1S    66W     6 ,GREAT WESTERN OPERATING COMPANY LLC,10110
49,49,05-001-09812,WELL,ADAMS                               001SENW   24 1S    66W     6 , ,2016-05-03,Rock Family LE,13-4HN,WATTENBERG,90750,ADAMS,                           001SENW   24 1S    66W     6 ,GREAT WESTERN OPERATING COMPANY LLC,10110
50,50,05-001-10009,WELL,ADAMS                               001SWSE   25 1S    66W     6 , ,2017-04-06,ALMA 1S-66-2524,3CDH,WATTENBERG,90750,ADAMS,                           001SWSE   25 1S    66W     6 ,EXTRACTION OIL & GAS INC,10459
51,51,05-001-10010,WELL,ADAMS                               001SWSE   25 1S    66W     6 , ,2017-04-06,ALMA 1S-66-25,2NH,WATTENBERG,90750,ADAMS,                           001SWSE   25 1S    66W     6 ,EXTRACTION OIL & GAS INC,10459
52,52,05-001-10011,WELL,ADAMS                               001SWSE   25 1S    66W     6 , ,2017-04-06,ALMA 1S-66-2524,4NH,WATTENBERG,90750,ADAMS,                           001SWSE   25 1S    66W     6 ,EXTRACTION OIL & GAS INC,10459
53,53,05-001-10012,WELL,ADAMS                               001SWSE   25 1S    66W     6 , ,2017-04-06,ALMA 1S-66-25,1NH,WATTENBERG,90750,ADAMS,                           001SWSE   25 1S    66W     6 ,EXTRACTION OIL & GAS INC,10459
